,Facility Name,Categories,Zipcode,Lat,Lng
25,Children's Hospital Colorado Uptown Denver,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis.paediatrics', 'healthcare.hospital']",80218.0,39.74518495,-104.96783984847396
26,Good Samaritan Medical Center,"['healthcare', 'healthcare.hospital']",80026.0,39.96976445,-105.0866046330472
27,Avista Adventist Campus,"['healthcare', 'healthcare.hospital']",80027.0,39.9516363,-105.15189102208684
28,Saint Anthony North Health Campus,"['healthcare', 'healthcare.hospital']",80023.0,39.9554252,-104.9913966608369
29,UCHealth Emergency Room - Aurora Central,"['healthcare', 'healthcare.clinic_or_praxis']",80017.0,39.6961262,-104.809157975
30,University of Colorado Hospital,"['healthcare', 'healthcare.hospital']",80045.0,39.7425435,-104.841661
31,Southlands Emergency Room,"['building', 'building.commercial', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80016.0,39.603978,-104.7117956710855
32,SCL Health Community Hospital - Northglenn,"['healthcare', 'healthcare.hospital']",80233.0,39.9124158,-104.98400219532051
33,"Children's Hospital Colorado North Campus, Broomfield","['healthcare', 'healthcare.hospital']",80023.0,40.00287145,-104.9932181373564
34,North Suburban Medical Center,"['healthcare', 'healthcare.hospital']",80229.0,39.8645116,-104.9859948316301
35,84th Avenue Neighborhood Health Center,"['healthcare', 'healthcare.hospital']",80031.0,39.85096655,-105.01863449924492
36,Centennial Medical Plaza,"['healthcare', 'healthcare.hospital']",80112.0,39.59358775,-104.8233467692336
37,National Jewish Health,"['healthcare', 'healthcare.hospital', 'wheelchair', 'wheelchair.yes']",80206.0,39.73920955,-104.94237787754632
38,"Children's Hospital Colorado South Campus, Highlands Ranch","['healthcare', 'healthcare.clinic_or_praxis.paediatrics', 'healthcare.hospital']",80129.0,39.55710325,-105.01060213125658
39,UCHealth Emergency Room - Parker,"['building', 'building.commercial', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80134.0,39.5337198,-104.7905132265306
40,AFC Urgent Care,"['building', 'building.commercial', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80121.0,39.607369,-104.9596910531204
41,Craig Hospital,"['healthcare', 'healthcare.hospital']",80113.0,39.6542801,-104.97835816740128
42,Denver Veterans Affairs Medical Center,"['healthcare', 'healthcare.hospital']",80220.0,39.73241835,-104.93632528953108
43,Aspen Dental,"['healthcare', 'healthcare.dentist']",80401.0,39.7342629,-105.159698
44,Walgreens,"['building', 'building.commercial', 'building.healthcare', 'commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy', 'wheelchair', 'wheelchair.yes']",80215.0,39.73954755,-105.11154804608096
45,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80013.0,39.6536989,-104.7732414
46,Lakewood Modern Dentistry,"['healthcare', 'healthcare.dentist']",80226.0,39.7067798,-105.081995
47,Concentra Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80247.0,39.6754177,-104.866972
48,Safeway,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80012.0,39.6864917,-104.868598
49,Bright Now! Dental,"['healthcare', 'healthcare.dentist']",80003.0,39.84105613363057,-105.08194803316503
50,OnPoint Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80129.0,39.5494026,-104.9981278
51,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80210.0,39.6795108,-104.972635
52,Gianna's Angels Day Program,['healthcare'],80014.0,39.6671235,-104.864375
53,Safeway,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80230.0,39.7201357,-104.900975
54,Target Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80247.0,39.6916319,-104.863299
55,First Choice Emergency Room,"['healthcare', 'healthcare.clinic_or_praxis']",80023.0,39.9437289,-104.99864
56,"Children's Hospital Colorado KidStreet, Denver","['healthcare', 'healthcare.clinic_or_praxis']",80205.0,39.7625969,-104.9442097
57,"Children's Hospital Colorado at Parker Adventist Hospital, Emergency Care, Parker","['healthcare', 'healthcare.clinic_or_praxis.paediatrics', 'healthcare.hospital']",80138.0,39.5479351,-104.7699255
58,"Children's Hospital Colorado Outpatient Specialty Care, Parker","['healthcare', 'healthcare.clinic_or_praxis']",80138.0,39.5483753,-104.769271
59,"Children's Hospital Colorado Urgent and Outpatient Specialty Care, Wheat Ridge","['healthcare', 'healthcare.clinic_or_praxis']",80033.0,39.7658784,-105.0891932
60,Denver Health Eastside Family Health Center,"['healthcare', 'healthcare.clinic_or_praxis']",80205.0,39.755596,-104.9756916
61,Denver Health Medical Center Emergency Department Trauma Center,"['healthcare', 'healthcare.hospital']",80204.0,39.7284644,-104.990709
62,Denver Health Medical Emergency Center for Children,"['healthcare', 'healthcare.clinic_or_praxis.paediatrics', 'healthcare.hospital']",80204.0,39.7276558,-104.9910818
63,Planned Parenthood (Denver Central),"['healthcare', 'healthcare.clinic_or_praxis']",80218.0,39.7386405,-104.975779
64,King Soopers,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80204.0,39.7374033,-104.9983988
65,Sam Sandos Westside Family Health Center,"['healthcare', 'healthcare.clinic_or_praxis']",80204.0,39.7344213,-105.024256
66,Iora Primary Care,"['healthcare', 'healthcare.clinic_or_praxis']",80012.0,39.6973941,-104.818853
67,Walmart Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80014.0,39.6732855,-104.811562
68,Nouvelle Dentistry,"['healthcare', 'healthcare.dentist']",80111.0,39.6224425,-104.895192
69,DenTal avera,"['healthcare', 'healthcare.dentist']",80214.0,39.7437021,-105.0810019
70,Delicate Smiles Dental,"['healthcare', 'healthcare.dentist']",80601.0,39.9864968,-104.800848
71,Delicate Smiles Dental,"['healthcare', 'healthcare.dentist']",80011.0,39.7261572,-104.786384
72,Safeway,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80013.0,39.6515087,-104.769965
73,"Children's Hospital Colorado Therapy Care, Highlands Ranch","['healthcare', 'healthcare.clinic_or_praxis']",80129.0,39.5500547,-104.9971494
74,King Soopers Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80111.0,39.6079858,-104.920705
75,"Children's Hospital Colorado Urgent Care, Wheat Ridge","['healthcare', 'healthcare.clinic_or_praxis']",80033.0,39.7656508,-105.0894505
76,"Robinson Cosmetic Surgery, LLC","['healthcare', 'healthcare.clinic_or_praxis']",80124.0,39.5399827,-104.8714735
77,Allergy Asthma & Sinus Center,"['healthcare', 'healthcare.clinic_or_praxis', 'wheelchair', 'wheelchair.yes']",80226.0,39.7067289,-105.082832
78,Boulder Valley Center for Dermatology,"['healthcare', 'healthcare.clinic_or_praxis']",80601.0,39.9646483,-104.7685781
79,Boulder Valley Center for Dermatology,"['healthcare', 'healthcare.clinic_or_praxis']",80026.0,39.9865938,-105.106088
80,Ballen Medical & Wellness,['healthcare'],80111.0,39.606317,-104.904485
81,Dentists of Greenwood,"['healthcare', 'healthcare.dentist']",80111.0,39.6255334,-104.883522
82,Cody Dental Group,"['healthcare', 'healthcare.dentist']",80222.0,39.6657344,-104.9365963
83,Kids Mile High Pediatric Dentistry,"['healthcare', 'healthcare.dentist']",80112.0,39.5787077,-104.8657212
84,SCL Health Saint Joseph Hospital,"['healthcare', 'healthcare.hospital']",80218.0,39.7461762,-104.9710857
85,King Soopers Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80224.0,39.7010741,-104.911365
86,Eagle Eyecare,"['healthcare', 'healthcare.clinic_or_praxis', 'healthcare.clinic_or_praxis.ophthalmology']",80227.0,39.6545624,-105.0821799
87,Lincoln Center Dental,"['healthcare', 'healthcare.dentist']",80112.0,39.5368994,-104.844351
88,Ridgeview Dental,"['healthcare', 'healthcare.dentist']",80015.0,39.6143856,-104.7562709
89,Family Medicine Of The Rockies,"['healthcare', 'healthcare.clinic_or_praxis']",80012.0,39.6933739,-104.863961
90,Rocky Mountain Acupuncture - Beth Bright,['healthcare'],80033.0,39.7782995,-105.0820563
91,Signature Smiles Dentistry,"['healthcare', 'healthcare.dentist', 'wheelchair', 'wheelchair.yes']",80134.0,39.5589769,-104.7830287
92,"Lisha Barre MD, LLC","['healthcare', 'healthcare.clinic_or_praxis']",80003.0,39.8394656,-105.078518
93,Continuum Autism Spectrum Alliance Denver,"['healthcare', 'healthcare.clinic_or_praxis']",80235.0,39.6494637,-105.0775693
94,Jing Japanese Acupuncture - Patti Polman,['healthcare'],80211.0,39.7768769,-105.0344618
95,Vision Care Specialists,['healthcare'],80265.0,39.7479443,-104.9941643
96,Ritualcravt,['healthcare'],80211.0,39.7764924,-105.0233463
97,"Dr. Andrew N. Fedorowicz, MD","['healthcare', 'healthcare.clinic_or_praxis']",80111.0,39.62006,-104.9021734
98,Morrow Chiropractic LLC,['healthcare'],80134.0,39.5321917,-104.7955252
99,Towncenter Dentistry and Orthodontics,"['healthcare', 'healthcare.dentist']",80238.0,39.758370044388144,-104.9007602997462
100,PrimeHealth,"['healthcare', 'healthcare.clinic_or_praxis']",80202.0,39.7421703,-104.9870571
101,The Child Health Clinic at Children’s Hospital Colorado,"['healthcare', 'healthcare.clinic_or_praxis']",80011.0,39.7397795,-104.835817
102,Dr. David L. Dahlhauser,['healthcare'],80224.0,39.6772889,-104.9089622
103,AFC Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80026.0,39.9872672,-105.125068
104,Comfort Dental,"['healthcare', 'healthcare.dentist']",80214.0,39.7405134,-105.079534
105,Colorado In-Home Counseling,['healthcare'],80222.0,39.6803521,-104.9397057
106,Comfort Dental,"['healthcare', 'healthcare.dentist']",80010.0,39.7405552,-104.866804
107,Comfort Dental,"['healthcare', 'healthcare.dentist']",80229.0,39.8525816,-104.976882
108,Comfort Dental,"['healthcare', 'healthcare.dentist']",80126.0,39.5671633,-104.907528
109,The Raleigh House,['healthcare'],80002.0,39.7897933,-105.073198
110,AFC Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80246.0,39.7027448,-104.940246
111,GVR Dental and Orthodontics,"['healthcare', 'healthcare.dentist']",80249.0,39.7871356,-104.771693
112,Southeast Family Chiropractic,"['healthcare', 'healthcare.clinic_or_praxis']",80015.0,39.6374071,-104.8275596
113,Planned Parenthood,"['healthcare', 'healthcare.clinic_or_praxis']",80012.0,39.6930829,-104.827803
114,The Edge Chiropractic Center,['healthcare'],80112.0,39.54048,-104.8570572
115,Clear Smile Dental Care,"['healthcare', 'healthcare.dentist']",80122.0,39.5792478,-104.959228
116,Miyamoto Family Dental,"['healthcare', 'healthcare.dentist']",80014.0,39.6724059,-104.8668584
117,The Women's Imaging Center - Centennial,['healthcare'],80015.0,39.6118015,-104.7516178
118,Harvard Park Surgery Center,"['healthcare', 'healthcare.clinic_or_praxis', 'wheelchair', 'wheelchair.yes']",80210.0,39.6707777,-104.9755381
119,AFC Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80012.0,39.6946131,-104.8648973
120,Denver Audiology,['healthcare'],80206.0,39.7174589,-104.94587
121,Park Hill Dental Arts,"['healthcare', 'healthcare.dentist']",80207.0,39.7509412,-104.9332226
122,CVS Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80237.0,39.6525224,-104.8992437
123,Zinnia Healing Denver,"['healthcare', 'healthcare.clinic_or_praxis']",80246.0,39.7004575,-104.9361546
124,Zinnia Healing Denver,"['healthcare', 'healthcare.clinic_or_praxis']",80227.0,39.6742277,-105.0603145
125,The Relationship Center of Colorado,['healthcare'],80232.0,39.6817254,-105.0804441
126,Omdera Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80012.0,39.693096,-104.8303514
127,Dr. Emily Baker & Associates PC,['healthcare'],80021.0,39.9256525,-105.1358511
128,Collective Counseling Solutions,"['healthcare', 'office']",80209.0,39.7141703,-104.9465663
129,Action Behavior Centers - ABA Therapy for Autism,['healthcare'],80013.0,39.6547831,-104.7695663
130,First Care Primary Clinic,"['healthcare', 'healthcare.clinic_or_praxis']",80112.0,39.5946188,-104.8399003
131,Comfort Dental,"['building', 'building.healthcare', 'healthcare', 'healthcare.dentist']",80110.0,39.6662573,-104.98715118844709
132,Community Medical Center,"['building', 'building.healthcare', 'healthcare']",80026.0,39.986449750000006,-105.10260730573586
133,Walgreens,"['building', 'building.commercial', 'building.healthcare', 'commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80014.0,39.675263,-104.84813286857806
134,Platte Valley Medical Center,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital', 'wheelchair', 'wheelchair.yes']",80601.0,39.9646492,-104.76850913685536
135,Kaiser Permanente,"['building', 'building.commercial', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.clinic_or_praxis']",80129.0,39.547637,-105.0044162
136,Northeast Emergency Room,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80602.0,39.92785635,-104.92318276581396
137,Salud Family Health Center,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80022.0,39.8103359,-104.90410230260574
138,Hampden Family Dentistry & Orthodontics,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80231.0,39.65249395,-104.88053139918632
139,Southeast Denver Dental,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80222.0,39.66822555,-104.9124902
140,Metro Community Providers North Aurora Family Health Services,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.hospital']",80010.0,39.76366555,-104.84539646769706
141,Perfect Teeth,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80222.0,39.67760685,-104.91334435
142,Children's Hospital Colorado Emergency Department (ED),"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.hospital']",80045.0,39.7422167,-104.83615269377673
143,Anschutz Inpatient Pavilion 2 & Emergency Department (University Hospital),"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.hospital']",80045.0,39.74233255,-104.8425537964631
144,UCH Center for Dependency Addiction & Rehabilitation (CeDAR),"['healthcare', 'healthcare.hospital']",80045.0,39.7428247,-104.84582265555557
145,Marion Downs Hearing Center,"['healthcare', 'healthcare.hospital']",80045.0,39.74451965,-104.84496809931883
146,Kids Choice Dental & Braces,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80222.0,39.6759453,-104.91237463750028
147,Denver Health Montbello Community Health Center,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.hospital']",80239.0,39.78127045,-104.84381480150384
148,Flatirons Family Dental & Orthodontics,"['healthcare', 'healthcare.dentist']",80027.0,39.92915005,-105.149713525
149,Associates in Family Dentistry,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80017.0,39.67481262829825,-104.80771542156376
150,Walgreens,"['building', 'building.commercial', 'building.healthcare', 'commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80204.0,39.7407376,-105.0524585695966
151,Tennyson Center for Children at Colorado Christian Home,"['healthcare', 'healthcare.hospital']",80212.0,39.7594523,-105.0434853
152,HealthONE Behavioral Health and Wellness Outpatient Services at Saddle Rock,"['building', 'building.commercial', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis', 'healthcare.clinic_or_praxis.psychiatry']",80016.0,39.5796634,-104.72610985773204
153,Vibra Hospital of Denver,"['healthcare', 'healthcare.hospital']",80229.0,39.850476,-104.98039788235248
154,Colorado Acute Long Term Hospital,"['healthcare', 'healthcare.hospital']",80204.0,39.74334935,-105.03581114088212
155,Redstone Dental Group,"['building', 'building.healthcare', 'healthcare', 'healthcare.dentist']",80129.0,39.54877575,-105.00358085309716
156,Saint Anthony Medical Campus,"['healthcare', 'healthcare.hospital']",80228.0,39.7144552,-105.12949034818875
157,Saint Anthony Hospital,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80228.0,39.71625455,-105.12909439976605
158,OrthoColorado Hospital,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80228.0,39.717096,-105.12920259365032
159,Century Cancer Centers - Denver,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80111.0,39.6210277,-104.89822477365117
160,Memory Care at The Gardens,"['building', 'building.healthcare', 'building.residential', 'healthcare', 'healthcare.hospital']",80231.0,39.671983,-104.86805214212988
161,Saint Paul Health Center,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.hospital']",80206.0,39.7430947,-104.95159905181085
162,HealthOne Spalding Rehabilitation Hospital,"['healthcare', 'healthcare.hospital']",80011.0,39.73112295,-104.82741099969512
163,The Medical Center of Aurora-North Campus,"['healthcare', 'healthcare.hospital']",80011.0,39.72785135,-104.82716869816616
164,UCHealth Broomfield Hospital,"['healthcare', 'healthcare.hospital']",80021.0,39.91038845,-105.09144960911036
165,Rocky Mountain Regional VA Medical Center (RMR VAMC),"['healthcare', 'healthcare.hospital']",80045.0,39.74341275,-104.82970654894
166,PAM Health Rehabilitation Hospital of Golden,"['building', 'building.healthcare', 'healthcare']",80401.0,39.72719705,-105.20473649330827
167,Clinica Family Health,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80026.0,39.98294185,-105.09134776796516
168,Secora Family Dentistry,"['building', 'building.healthcare', 'healthcare', 'healthcare.dentist']",80123.0,39.5941513,-105.07030295645336
169,Denver Springs,"['healthcare', 'healthcare.clinic_or_praxis.psychiatry', 'healthcare.hospital']",80112.0,39.5568115,-104.82763116291076
170,Comfort Dental,"['building', 'building.healthcare', 'healthcare', 'healthcare.dentist']",80601.0,39.97278315,-104.8193355
171,NextCare Urgent Care,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80229.0,39.87284215,-104.9816029120931
172,Avamere Transitional Care and Rehab - Brighton,"['building', 'building.healthcare', 'healthcare']",80601.0,39.984178,-104.79653601523296
173,Sierra Rehabilitation and Care Community,"['building', 'building.healthcare', 'healthcare']",80214.0,39.73908055,-105.05756638985044
174,Paradise Dentistry & Orthodontics,"['healthcare', 'healthcare.dentist']",80210.0,39.6786183,-104.959025
175,Wallgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80222.0,39.6643392,-104.939893
176,Dental Elements,"['healthcare', 'healthcare.dentist', 'wheelchair', 'wheelchair.yes']",80202.0,39.7514677,-105.002504
177,Concentra Urgent Care,"['healthcare', 'healthcare.clinic_or_praxis']",80202.0,39.7516873,-104.997315
178,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80027.0,39.9693699,-105.1643211
179,Front Range Eye Health Center,"['healthcare', 'healthcare.clinic_or_praxis']",80027.0,39.991627,-105.1286031
180,Advanced Medical Imaging,"['healthcare', 'healthcare.clinic_or_praxis']",80027.0,39.9604439,-105.163822
181,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80027.0,39.9282526,-105.146567
182,King Soopers Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80012.0,39.6954806,-104.8677977
183,Acupuncture by Christina Fick,['healthcare'],80457.0,39.6327422,-105.320859
184,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80222.0,39.6781367,-104.913908
185,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80012.0,39.7115645,-104.864413
186,20/20 Institute,['healthcare'],80234.0,39.9145356,-105.003779
187,Walmart Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80231.0,39.6523199,-104.87858
188,Target Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80231.0,39.6553228,-104.900434
189,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy', 'wheelchair', 'wheelchair.yes']",80224.0,39.6527436,-104.905032
190,MHCD Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80220.0,39.7349304,-104.935218
191,The Denver Hospice,"['healthcare', 'healthcare.hospital']",80230.0,39.7199008,-104.8919851
192,Safeway,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80210.0,39.6777191,-104.972116
193,Costco Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80110.0,39.6441544,-105.006401
194,Pacific Dental Services,"['healthcare', 'healthcare.dentist']",80110.0,39.646135,-105.008041
195,Dental 911,"['healthcare', 'healthcare.dentist']",80220.0,39.7290521,-104.937899
196,Kindred Hospital Aurora,"['healthcare', 'healthcare.hospital']",80011.0,39.7281498,-104.826609
197,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80014.0,39.6684814,-104.827378
198,Aspenwood Dental Associates,"['healthcare', 'healthcare.dentist']",80014.0,39.6623334,-104.846696
199,CarePlus CVS Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80045.0,39.74878459003072,-104.83757463720296
200,Small Smiles Dental,"['healthcare', 'healthcare.dentist']",80011.0,39.7264273,-104.822028
201,Wellshire Pharmacy,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80222.0,39.6724986,-104.939518
202,Dayton Dental,"['healthcare', 'healthcare.dentist']",80231.0,39.6796257,-104.8758963
203,Adventure Dental Vision & Orthodontics,"['healthcare', 'healthcare.dentist']",80012.0,39.697841,-104.812033
204,Urology Center of Colorado,"['healthcare', 'healthcare.clinic_or_praxis']",80211.0,39.7484502,-105.021622
205,Gateway Dental,"['healthcare', 'healthcare.dentist']",80012.0,39.6974726,-104.817115
206,risas Dental and Braces,"['healthcare', 'healthcare.dentist']",80033.0,39.7700638,-105.081895
207,Aurora Medical Weight Loss,"['healthcare', 'healthcare.clinic_or_praxis']",80014.0,39.6739186,-104.811554
208,Bright Now! Dental,"['healthcare', 'healthcare.dentist']",80214.0,39.7405508,-105.082311
209,The Joint Chiropractic,"['healthcare', 'wheelchair', 'wheelchair.yes']",80016.0,39.5937456,-104.809017
210,Advanced Pediatric Associates,"['healthcare', 'healthcare.clinic_or_praxis']",80015.0,39.6142345,-104.7545944
211,Denver Physical Therapy,['healthcare'],80202.0,39.7447509,-104.9907215
212,Walgreens,"['commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80247.0,39.6990886,-104.9026954
213,Comfort Dental,"['healthcare', 'healthcare.dentist']",80013.0,39.6766163,-104.7706421
214,Fusion Sport Rehab,['healthcare'],80120.0,39.5726146,-104.993263
215,Smile Hi Family Dentistry,"['healthcare', 'healthcare.dentist']",80014.0,39.6611857,-104.848022
216,"Bonnie C. Ferrell, DDS","['healthcare', 'healthcare.dentist']",80230.0,39.7202674,-104.898939
217,Kids Choice,"['healthcare', 'healthcare.dentist']",80011.0,39.7414019,-104.8113147
218,Colon and Rectal Clinic of Colorado,"['healthcare', 'healthcare.clinic_or_praxis']",80218.0,39.7466854,-104.9677442
